Username,Comment
heru purnomo,"Kompas tv yg netral , beritanya judulnya dan narasinya menyejukan masyarakat. Kompas tv tdk membawa masyarakat melihat tayangan perdebatan yg kurang mendidik dlm etika , analis yg diundang cenderung netral ,"
Herry Junaedi,ya ialah mau ente di pecat jd mantu klu ga dukung gibran tenang Bob ntar mas gibran ksh km jabatan lbh tinggi dr walikota medan jd mentri pertanian bagian urusin duren Medan n Teri Medan
john RAI,"ya iyalah masak gk dukung prabowo gibran ntar di pecat jadi menantu...dia sudah yakin kalao lah di pecat pdip  , psi sudah pasti menyambutnya bisa gerindra , biaa pan dll"
Muhammad Shobirin,"Ketika ada yg dukung prabowo-gibran, pasti ada yg kpanasan😆😆😆😆😆"
heru purnomo,Tv one tdk menayangkan hasil survai charta politica yg baru . Kenapa ya. Apa krn jagoanya blm unggul dlm survai.
parmonangan siagian,Terlalu di karbit
Kolil Aja,Alhamdulilah 🤲🤲🤲
Metty Sriastuti,Ni satu lg kader yg  jd walikota.  .tidak tau diri. ....takut. Istri. Takut mertua. Takut ipar.    Nggak ingat jd wakikota siapa yg. Support ?    Soal nya kalo dukung ganjar. Ntar di pecat. Secara tak hormat. Sama keluarga zonxwi.🤣🤣🤣😜😜😜😡😡😡🤐👎👎👎dasar.  Air susu di balas tuba.     . SEGERA ANGKAT KAKI JD WALKOT MEDAN Q🤭🤭🤭
nabila zein Alydrus,"Dulu yg mencalonkan bobby maju walikota pdi perjuangan, kalau punya urat malu, harusnya mundur dari walkot"
Melky Excavator,Cocok.... Pengkhianat sejalan dgn penculik
Benyamin Situmeang,Keluar lah kau dari partai !
Sri Lamin,Sama saya juga pak Anis.
Apeng Play,"Yang komen gak suka emang dari awal gak dukung Prabowo makanya selalu negarif, mirip sekali kaya Buzzer😅"
Sri Lamin,Nasution sudah salah dukung.
Jeris Nenggo,Kita udah tau Bobby akan ikut Sang Tuan Jokowi utk langgengkan Dinasti
Papua Mimika,jgn malu2: ajak juga pan gembul dkk
AAA,"Mang luar biasa pak Prabowo the real president, sangat di hormati masyarakat karena sangat rendah diri, walaupun sering di fitnah tidak pernah menjelekkan lawannya. Malah dr Capres yg kalah siap jadi Menhan Rivalnya demi bangsa Indonesia. 
Prabowo Mang paling tulus untuk bangsa Indonesia, KATA GUSDUR Nampaknya Prabowo sudah menguasai ilmu filosofi Sun Tze dll 😂😂😂"
Balong Farm,WONG DESO WIS PAHAM politik dynasti kedepanakan syarat KKN. HIDUP AMINNN
Troy Thomas,"TANGGUNG BOS ,, SUPIR ,PEMBANTU JOKOWI AJAK GABUNG DONG . 😂😂😂"
KUS HANDANI,Wong..Ade ipar harus didukung laaah😂
Andiko Barus,Pdi pd panik😂😂😂
nadaa sumbangg,"Bismilah, hancurnya PDIP dan dinasti di 2023"
A. Heri Suseno,"Semua yang digaji negara ditarik....untuk menjadi bagian dari kelompoknya...
Ironis...semua PJ ditekan dikasih target untuk memenangkan paslon/partai tertentu di daerah masing2 ga berhasil di copot...
Rakyat hanya di jadikan obyek untk mau dia tetap berkuasa.."
Tahta Chendrawasih,Bertambah 1 lagi 😅😅😅 dasar MANUSIA...😂😂😂
Genhsin Impact,"Mantap ,mending dipecat,daripada jadi bonekanya partai😊"
gandy nikkilaus,"Yes , terjawab sudah kecurigaan rakyat ttg politik dinasti.... 👍👍👍👍"
Mus Topa,Alhamdulilah keluarga Jokowi akhirny lepas dari PDI.krena saya udh GK suka Jokowi soalny kacang lupa kulitny....😂😂😂
B J,"Lalu dibikin trauma heling...
Beh anak baru Genosida..."
nur madiah,Kami mendukung yang amanah dan terbukti bisa menjadi panutan alias ustadz siapa lagi kalau bukan Anis Baswedan
mul war,"BOBBY KETUA GEROMBOLAN PEMUDA TAK BERGUNA ..PERUSAK HUKUM, DAN DEMOKRASI.....PERAMPOK REFORMASI"
apa aja !,"Ko sekarang aneh ya pejabat publik kan seharusnya netral?
Jikalau pejabat tsb menyatakan ingin mendukung salah satu kandidat, seharusnya ia tidak boleh berada di area/menggunakan fasilitas pemerintahan.
1.agar dukungan tersebut sah dari seorang BN bukan dari pejabat publik .
2.agar masyarakat tidak menaruh kecurigaan atas dukungan tsb, karena di samping ia pejabat publik,ia juga sebagai ipar ."
Kamu Nanya,"😂😂😂😂 SEMUA MELLENIAL BISA 😂😂😂😂.

TIDAK ADA YG ISTIMEWA.

NASIB DAN KEBERUNTUNGAN AJA. KARENA ANAK PRESIDEN.😊"
Bebek Merem,Tunggangannya yang kemarin jadi kebo pilek 😁😁😁
Menfor,Lambat kali dukungan resminya ? kenapa pula saya duluan yang dukung terapi belum diresmikan 💛👍😁🤓
Mitraref Channel,"Baru ada mahasiswa di Medan Demo soal keputusan MK 😂. Milenial lhooo 😂😂😂
Yg ini ambivalennya karena .... Dinasti Politik ?!? !?! ! 😂😂😂 
Terlihat apakah bisa netral 😂😂😂. 
Netral kalo setelah ""pukul dulu"" urusan nanti, permakluman anak bangsa cepat & tulus. Target Keputusan MK dng ticket emas cawapres sudah tercapai.
Timing tepat walo transparan 
Drama yg makin menggelikan, canggung ketemu anak achirnya katanye akan dijamu wapres padahal semuanya masih belum diresmikan oleh KPU, masih bakal calon doank... Menggelikan juga lihat gestur & gimmick pak Ganjar yg banyak senyum yg seolah sudah mengerti semua, senyum pak Anis yg sangat formal memendam banyak hal  serta kecanggungan dua tokoh lainnya yg banyak melihat meja & hidangan. Apalagi tuan rumah 😂
Menolak lupa untuk rekam jejak...rekam jejak & rekam jejak...Fundamental."
Toto Sunaryo,"Kenapa rumah PDIP seperti kebakaran jenggot hujat sana sini melalui sekjen,jelas ketar ketir takut kalah.di pulau Sumatra ada Boby , Jawa tengah pasti Gibran grilia, Jawa timur kekuatan para kiayi NU dan pendukung pak Jokowi.jawa barat jelas pak Prabowo tak terkalahkan dalam dua kali pemilu dan Kaesang terus sapari politik santun di basis basis yg di bilang lemah suara untuk Prabowo.pantas rumah Banteng gaduh?"
Agus Yanto,Dimana mana Di nomor satu kan ya Keluarga.. orang lain Mukin cumak butuh Doang.. Sudah gak Butuh ya Di Lepeh.. dah Fakta..
Catur Budiono,Wah ini tanda2 kekalahan prabowo-gibran
Lina Rosaline,PrabowoGibran
Ming,"Jijik dan muak lihat dia jual tampang cengar cengir melebihi pangeran william/akihito dll, apa terlahir jadi mantu presiden berkat dukungan prabowo? Pdip yang berkeringat, malah air susu dibalas air tuban, kacang lupa kulit, dasar ngak tahu diri"
all Live,"Satu keluarga VS Every Body,🤮 Bikin Muak saja"
Gideon 🇮🇩,"SUMATERA BERSATU SIAP DUKUNG PENUH PRABOWO & GIBRAN ,  PEMUDA , PROJO, BERSAMA PRABOWO ❤️ 🇮🇩 SI UBAN BIKIN PIALA DUNIA BATAL . KASUS WADAS . OGAH MILIH UBAN !"
B J,"Bobby nastusion yang memperkosa anaknya nas...
Mana nas...
Itu kakek bodoh...
Itu cuma kode...

Dadah Bobby...
Cok cok lu lokal njir...
Gak tau menjadi2 banci sejati pantek sebarkan penyakit...
Iya emak gw sakit bgt...

Ini 3 wanita perompak berbahaya...
Bar oh bar...
Barcode...

Iya mereka semua Wanita...
Iya ampe gw dicengin sama siska kohl...
Ini tuh cerita cwe yang morotin cwonya...
Hah...
Aku mau emas aku jadi cwe main rf...
Iya mau ini itu hah...
Si muti dkk disana lgi bikin propaganda tsunami gempa australia mendekat ngincer as pak wb...

Masalah gw ya sama yg nyebarin penyakit ke bandung tiba2 sakit...
Co lu si tommy berak di plastik...
Di korsel kakak Retta meninggal dipasangin sound...
Oh...
Terus si isam kelelep didanau ???
Si septian tenggelem di Kolem renang ???
Terus Ser vi kristian S...
Terus apa lagi ???"
Efeann 4444,"gak ngaruh,gak ada prestasi paling anies baswedan yg menang"
Rantau jalanan,"Terlepas dri seorg wali kota,beliau jg seorg pemilih yg  berhak memilih siapapun it"
خديجه اليمنيه,ارجوك تثبت تعليقي في قناتك اسال الله يوفقك ويسهل امورك 💔😭اخي او اختي صاحب القناه بعرف انه مهو من حقي اعلق على قناتك بس يشهد الله ضروفنا قاسيه واجبرتني على هذا اشي ارجوك سامحني 💔انا يأاخي والله ثم والله ثم والله اني مابدي اطلب احد بس الضروف حكمت عليه وخلتني اطلب '''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''' اخي اول كلامي انا اقسم بالله على كتاب الله اني لااكذب عليك ولا انصب ولا احتال اني بنت يمنيه نازحين من الحرب انا واسرتي استاجرنا بيت الشهر ب 14 الف يمني والان علينا 56 الف حق 4 شهور وصاحب البيت من الناس الي ماترحم والله يا اخي انه يجي كل يوم يبهدلنا ويتكلم علينا ويريد من البيت للشارع لانناماقدرناندفعله الأجاريروحالئ ائتلافات نبكي ورجعوتكلمو الجيران ومهلنالاخره الأسبوع معادفعنا له حلف يمين بالله هذا بيخرجنا إلى الشارع رحمه واحنا. بلادنا بسبب هذا الحرب ولانجد قوت يومنا وعايشين اناوامي واخوتي سفار والدنا متوفي الله يرحمه ومامعنا أحد في هذا الدنيا جاانبنا في هذه الظروف القاسيه ومامعي اخوان كباره في هذا الظروف اخوتي ولكن انا بنت لااستطيع الاطلاع على البيت للشارع وشافو البيت للشارع وشافو الجيران ياكلو راوقفووعند بابهم لجلوهم ولوخبزه يسد والله الذي له ملك السموات والارض انهم غلفو الباب وطردوهم ورجعویبکوایمونومن عیش والان لوما احدنا ساعدنا في إيكيلو دقيق اقسم بالله انموت من الجوع فيا اخي انا دخيله على الله ثم عليك واريد منك المساعده لوجه الله انشدك بالله تحب الخير واتساعدني ولو وتطلب اسم بطاقتي وترسلي ولاتتاخر وايعوضك الله بكل خير فيا اخي انت رجال إذاشفت اسرتك جاوعين المستحيل من اجل تامن لهم الأكب ولكن انابنت عيني بصيره ويدي قصيره ليس لي أب مثلك واخواني سغار شوف كيف حالتهم وساعدنا وأنقذنا قبل أن يطردونا في الشارع تتبهدل أو نموت من الجوع أنا اقسم بالله الذي رفع سبع سموات بلاعمدوبسط الارض ومهداني لااكذب عليك بحرف من ه ذا الرساله واني ماطلبتك إلى من ضيق ومن قسوت الضروف والحال الذي احنافيه وانا واسرتي نسالك بالله لولك مقدره ﻳﺎﺃﻫﻞ ﺍﻟﺨﻴﺮ ﺍﻟﻲ ﻋﻨﺪﻩ ﺍﻟﻘﺪﺭﻩ ﻋﻠﻰ ﻣﺴﺎﻋﺪﺗﻨﺎ لايتاخر علينا لحظه هاذا رقمي واتساب00967713342392الذي يقدر يساعدنا يراسلني على الواتساب نرسله الاسم الكامل يحولنا بقدر استطاعته الله يجزيكم خير¢__¢^€]€€}¢=`^`√`√^````√°•
خديجه اليمنيه,"اخي او اختي صاحب القناه بعرف انه مهو من حقي اعلق على قناتك بس يشهد الله ضروفنا قاسيه واجبرتني على هذا اشي ارجوك سامحني💔💔والله العظيم ما كتبت هذا المناشده غير من الضيق والفقر ياعالم حسوا فينا ارجوكم والله العظيم رب العرش العظيم انه الاكل ما في عندي بالبيت والله يا اخواني انه اخوني بقعدو باليومين مافى اكل والله وضعنا كثير صعب نحن 4 نفر داخل البيت وابي متوفي ولا يوجد من يعول علينا وساكنين في بيت اجار لانستطيع دفع الاجار اللي باقي علينا

'''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''
 يا اهل الخير انا والله ما قصدي اشحد ولا ازعجكم والله انه ما في معناداخل الكيلوه الدقيق واصلا وحياة كتاب الله يا خوان ما فيه دخل علينا ولا من ايا شخص ربي يجزيك الخير يا فاعل الخير انا داخله على الله ثم عليكم يااهل الخير تقفوا معنا يا عالم حسوا فينا يا اهل الخير وين النخوة وين الاخوة وين الرحمه الى اوصى عليه النبي محمد بجاه النبي محمد تحسوا فينا انا بطلب منكم لو تساعدونى لو بثمن اكل مش طالبه شي غير انه نسد جوعنا ارجوكم من غير تجريح وكلام بكسر الخاطر انا يا خوان العيشة والله ما . عيشة فيكم تتاكدو يا اهل الخير انا توسل لكم ابوس على ايدكم تساعدونى ارجوكم امانه عليكم انا اعتبرونى اختكم عرضكم ساعدونى والله لول الضيق والفقر ما مديت ايدي اشحد من الناس استرونى يستر عرضكم وربنا يفرحكم في اطفالكم واهلكم ويبعد عنكم الضيق والحزن وربنا يجعل هذا المساعده في ميزان حسناتكم ساعدونى لو بثمن الاكل او بثمن اجار البيت ارجوكم يا اخواني يا اصحاب الضمير الحي يا اهل الخنوة واهل الكرم ارجوكم ساعدوني لو بشي قليل امانه عليكم والي حاب يساهم معي ربي يجزيه كل خير هذا رقمي00967713342392 الوتساب اللي يستطيع يساعدنا يتوصل معنا نعطيه الاسم الكامل العنوان ويحول لنا بما يستطيع وانا وسرتي نسالك بالله لولك مقدره على مساعدتنا لاتتاخر علينا و جزاك الله خير الجزا^££°√£`π`_`_|\|^`√`•`π\`\|^¢√`•`•"
